Transaction,Code,Severity,Text
P, DocumentQueued, W, An XDR Recipient queued the document for future manual matching to a patient.
P, InvalidDocumentContent, E, The recipient has rejected this submission because it detected that one of the documents does not match the metadata.
P, PartialAppendContentNotProcessed, W, An XDR Document Recipient did not process some part of the content. Specifically the parts not processed are Append semantics.
P, PartialFolderContentNotProcessed, W, An XDR Document Recipient did not process some part of the content. Specifically the parts not processed are Folder semantics.
P, PartialReplaceContentNotProcessed, W, An XDR Document Recipient did not process some part of the content. Specifically the parts not processed are Replacement semantics.
P, PartialTransformNotProcessed, W, An XDR Document Recipient did not process some part of the content. Specifically the parts not processed are Transform semantics.
P, PartialTransformReplaceNotProcessed, W, An XDR Document Recipient did not process some part of the content. Specifically the parts not processed are Transform and Replace semantics.
RS, XDSDocumentUniqueIdError, E, The document associated with the uniqueId is not available. This could be because the document is not available. The requestor is not authorized to access that document or the document is no longer available.
XGR, XDSDocumentUniqueIdError, E, The document associated with the uniqueId is not available. This could be because the document is not available. The requestor is not authorized to access that document or the document is no longer available.
P, XDSDuplicateUniqueIdInRegistry, E, UniqueId received was not unique. UniqueId could have been attached to SubmissionSet or Folder. codeContext shall indicate which and the value of the non- unique uniqueId. This error cannot be thrown for DocumentEntry. See XDSNonIdenticalHash and XDSNonIdenticalSize.
R, XDSDuplicateUniqueIdInRegistry, E, UniqueId received was not unique. UniqueId could have been attached to SubmissionSet or Folder. codeContext shall indicate which and the value of the non- unique uniqueId. This error cannot be thrown for DocumentEntry. See XDSNonIdenticalHash and XDSNonIdenticalSize.
P, XDSExtraMetadataNotSaved, W, This warning is returned if extra metadata was present but not saved.
R, XDSExtraMetadataNotSaved, W, This warning is returned if extra metadata was present but not saved.
P, XDSMissingDocument, E, DocumentEntry exists in metadata with no corresponding attached document.
P, XDSMissingDocumentMetadata, E, MIME package contains MIME part with Content-Id header not found in metadata.
SQ, XDSMissingHomeCommunityId, E, A value for the homeCommunityId is required and has not been specified.
XGQ, XDSMissingHomeCommunityId, E, A value for the homeCommunityId is required and has not been specified.
RS, XDSMissingHomeCommunityId, E, A value for the homeCommunityId is required and has not been specified.
XGR, XDSMissingHomeCommunityId, E, A value for the homeCommunityId is required and has not been specified.
P, XDSNonIdenticalHash, E, Document being registered was a duplicate (uniqueId already in Document Registry) but hash does not match. codeContext indicates UniqueId.
R, XDSNonIdenticalHash, E, Document being registered was a duplicate (uniqueId already in Document Registry) but hash does not match. codeContext indicates UniqueId.
P, XDSNonIdenticalSize, E, Document being registered was a duplicate (uniqueId already in Document Registry) but size does not match. CodeContext indicates UniqueId.
R, XDSNonIdenticalSize, E, Document being registered was a duplicate (uniqueId already in Document Registry) but size does not match. CodeContext indicates UniqueId.
