"Id scheme 
","Assertion id 
","Status 
","#Coverage 
","#Applies to 
","Comment 
","Predicate 
","Page 
","Tags 
","Last changed 
","Actions 
"
IHEXDS,HEXDS-31-2,to be reviewed, 0 , 0 ,,XDSDocumentEntry.sourcePatientInfo max length is 256 character,75,Section 4.2.3.2.23,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-1,reviewed, 1 , 0 ,,"List of sub-attributes of author in a XDSDocumentEntry must be : authorInstitution, authorPerson, authorRole, authorSpecialty and authorTelecommunication (IHE_ITI_TF V3, 4.2.3.1.4)",47,Section 4.2.3.1.4,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-10,, 1 , 0 ,,"Not other <rim;:name> elements than 'XDSDocumentEntry.patientId' shall exist in the DocumentEntry.patientId (IHE_ITI_TF V3, 4.2.3.2.16)",79,Section 4.2.3.2.16,3/24/16 12:37:27 PM  by jlabbe,
IHEXDS,IHEXDS-101,reviewed, 1 , 0 ,,"Classification/slot/@name is required and fixed to 'codingScheme' (IHE_ITI_TF V3, 4.2.3.1.2)",67,Section 4.2.3.1.2,3/24/16 12:37:27 PM  by jlabbe,
IHEXDS,IHEXDS-103,reviewed, 1 , 0 ,,"classification shall not contain other Slot than the one defined by name='codingScheme' (IHE_ITI_TF V3, 4.2.3.1.2)",67,Section 4.2.3.1.2,3/24/16 12:37:27 PM  by jlabbe,
IHEXDS,IHEXDS-104,reviewed, 1 , 0 ,,"classification shall not contain other Name than the displayName of the coded attribute (IHE_ITI_TF V3, 4.2.3.1.2)",67,Section 4.2.3.1.2,3/24/16 12:37:27 PM  by jlabbe,
IHEXDS,IHEXDS-105,, 1 , 0 ,,"classification shall not contain other classifications (IHE_ITI_TF V3, 4.2.3.1.2)",44,Section 4.2.3.1.2,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-106,, 1 , 0 ,,"classification shall not contain other externalIdentifier (IHE_ITI_TF V3, 4.2.3.1.2)",44,Section 4.2.3.1.2,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-107,, 1 , 0 ,,externalIdentifier shall be from the externalIdentifier defined in the paragraph 4.3.1.1 (SubmissionSet.patientId / SubmissionSet.sourceId/ SubmissionSet.uniqueId / DocEntry.patientId / DocEntry.uniqueId / Folder.patientId / Folder.uniqueId ),102,Section 4.3.1.1,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-108,, 1 , 0 ,,"ExternalIdentifier.value element is required(IHE_ITI_TF V3, 4.3.1.1)",46,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-109,, 1 , 0 ,,"if present in ExternalIdentifier, objectType attribute shall have the value 'urn:oasis:names:tc:ebxml-regrep:ObjectType:RegistryObject:ExternalIdentifier'(IHE_ITI_TF V3, 4.3.1.1)",46,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-11,, 1 , 0 ,,"Not description shall exist in the DocumentEntry.patientId (IHE_ITI_TF V3, 4.2.3.2.16)",71,Section 4.2.3.2.16,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-110,, 1 , 0 ,,ExtrernalIdentifier.registryObject attribute shall be present,47,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-111,, 1 , 0 ,,ExternalIdentifier.Name shall be present ,46,Section 4.2.3.1.3,11/13/15 1:03:09 PM  by aboufahj,
IHEXDS,IHEXDS-112,, 1 , 0 ,,ExternalIdentifier shall not have any slot,46,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-113,, 1 , 0 ,,"In ExternalIdentifier, only one name shall be present",46,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-114,, 1 , 0 ,,"In ExternalIdentifier, no description shall be present",46,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-115,, 1 , 0 ,,No classification shall be present in ExternalIdentifier,46,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
